frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,3.0,[368.29199961416737 695.997872405035 712.642894603419 1010.9849038080595],[480.1398010253906 891.337646484375 599.208984375 943.7200927734375],0.5870925188064575,NA13NRU,0.2442842360291686
5,3.0,[367.73859345952076 698.7444247045336 716.0577238796001 1015.7878803701273],[475.3267822265625 898.2637939453125 602.0687866210938 951.4486083984375],0.505836546421051,NA13NRU,0.23067621264754098
7,3.0,[362.2260268873839 704.1371408741911 713.0294654651585 1026.854275684355],[469.0345458984375 902.4309692382812 597.6758422851562 955.9014282226562],0.5515540242195129,NA13NRU,0.1674799389519969
8,3.0,[359.5212990123149 706.915219997594 713.1890053012479 1030.664941681325],[480.07708740234375 912.0428466796875 589.777587890625 959.6407470703125],0.5499285459518433,NA13NRU,0.36554618302213704
9,3.0,[354.84152772837973 709.8813135763725 709.6715462902318 1034.4789778523786],[472.74371337890625 913.6298217773438 588.2293090820312 964.4155883789062],0.571762204170227,NA13NRU,0.3141040163001646
11,3.0,[349.2348330871491 714.9366363550345 705.0629495215871 1040.7936378644217],[460.9373474121094 921.5994873046875 588.5816040039062 977.148193359375],0.5033665895462036,NA13NRU,0.24690409680479064
12,3.0,[347.0685766309034 719.4090220998206 704.1990910507739 1045.9714020557485],[461.7078552246094 925.3818969726562 575.31396484375 977.3494262695312],0.549471378326416,NA13NRU,0.5621941851530837
16,3.0,[339.48703987814815 731.4713834901991 700.655153995561 1058.8996432344316],[440.703369140625 936.06591796875 600.0422973632812 1001.7608642578125],0.29302045702934265,NA13NRU,0.1852545655519995
17,3.0,[336.57572312285896 734.8684963228309 698.6920976386627 1062.6945630872576],[450.6085510253906 943.7688598632812 590.0015258789062 1010.2667236328125],0.30633997917175293,NA13NRU,0.33108654685858363
17,6.0,[599.0743729122124 527.458945903764 863.4118228441117 743.3158351574224],[696.1320190429688 657.4409790039062 769.2343139648438 690.3549194335938],0.2872140109539032,GX15OGJ,0.1822138808507642
18,5.0,[1099.7463368632773 622.7506595148076 1413.030792067843 928.1768700406011],[1214.876220703125 825.353759765625 1306.4315185546875 870.2662353515625],0.5757893919944763,LV51VSU,0.100633027566749
18,3.0,[334.6413385693844 740.6088412288218 696.628964064476 1067.6549241980572],[450.5987548828125 948.0447387695312 571.0294189453125 1003.1019897460938],0.5301255583763123,NA13NRU,0.5015792383067404
19,3.0,[333.5582447311243 745.1737703974954 696.3732098814536 1071.4751308872048],[448.54193115234375 951.8212280273438 575.8687133789062 1006.1226196289062],0.5337156057357788,NA13NRU,0.585593570120727
20,3.0,[332.8204310400879 747.9632388329073 696.0277033332197 1074.0543589483016],[454.65216064453125 959.6200561523438 573.3563232421875 1009.5673828125],0.5589219331741333,NA13NRU,0.41269328664886357
21,3.0,[329.81075416279043 753.0019997674464 693.9133550625533 1076.7185897101026],[438.4216003417969 961.5828247070312 574.3270263671875 1019.6906127929688],0.5584138631820679,NA13NRU,0.23361399597572488
21,6.0,[594.9480594235775 534.6650030808912 865.7469874514505 751.7179473905951],[686.2825927734375 661.4661254882812 770.9976196289062 697.1151123046875],0.26689714193344116,GX15OGJ,0.14394300036835572
22,5.0,[1102.6795388850564 627.7488706825991 1426.0012183469585 938.6659323431684],[1215.281982421875 835.842041015625 1306.538818359375 881.3052978515625],0.6138412356376648,WV51VSU,0.09284758364303936
